epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,9406.79,1.371,1.53438,1.81571,0.37081,0.0989,0.11042,0.07803,1.49938,1.58354,2.08243,0.000707498,0.000707498,0.000707498
155,9504.38,1.36232,1.50262,1.80881,0.53865,0.1978,0.19566,0.13106,1.50298,1.53315,2.09381,0.000702782,0.000702782,0.000702782
156,9609.58,1.44078,1.53816,1.89109,0.46364,0.14783,0.17092,0.11792,1.61504,1.54906,2.17666,0.000698066,0.000698066,0.000698066
157,9710.6,1.3379,1.47463,1.76907,0.83054,0.22344,0.27633,0.18509,1.52619,1.48154,2.11392,0.000693351,0.000693351,0.000693351
158,9830.13,1.34451,1.43742,1.77214,0.24073,0.12637,0.13446,0.0907,1.44102,1.4496,2.02703,0.000688635,0.000688635,0.000688635
159,9936.94,1.30093,1.45173,1.75962,0.48104,0.12454,0.15065,0.10264,1.4341,1.49847,2.04321,0.000683919,0.000683919,0.000683919
160,10033.6,1.45489,1.61905,1.89274,0.53549,0.15665,0.17561,0.11366,1.51743,1.6515,2.13518,0.000679204,0.000679204,0.000679204
161,10150.8,1.39928,1.55717,1.83732,0.64435,0.19157,0.24427,0.15734,1.51565,1.77608,2.10856,0.000674488,0.000674488,0.000674488
162,10238.2,1.37455,1.55717,1.8254,0.50423,0.09802,0.13607,0.09398,1.4699,1.63309,2.05201,0.000669772,0.000669772,0.000669772
163,10347.8,1.39818,1.61319,1.82125,0.76009,0.27289,0.28977,0.20029,1.42676,1.57651,1.99066,0.000665057,0.000665057,0.000665057
164,10410.2,1.37731,1.51918,1.83149,0.79435,0.14835,0.17409,0.1101,1.55203,1.51405,2.09785,0.000660341,0.000660341,0.000660341
165,10496,1.37582,1.5042,1.79302,0.72303,0.34432,0.40546,0.24334,1.60258,1.42222,2.16722,0.000655625,0.000655625,0.000655625
166,10570.2,1.39809,1.46249,1.81459,0.86591,0.1978,0.24987,0.16431,1.4918,1.47162,2.06018,0.000650909,0.000650909,0.000650909
167,10635.4,1.36148,1.45013,1.77063,0.65025,0.15018,0.18264,0.12988,1.4404,1.55977,2.02227,0.000646194,0.000646194,0.000646194
168,10722,1.33045,1.47744,1.76413,0.61024,0.27351,0.30155,0.17928,1.50353,1.68018,2.04875,0.000641478,0.000641478,0.000641478
169,10807,1.31196,1.40214,1.73779,0.77405,0.19556,0.24269,0.13967,1.53908,1.50914,2.07301,0.000636762,0.000636762,0.000636762
170,10887.4,1.26362,1.41142,1.76644,0.73099,0.1978,0.22527,0.15014,1.53165,1.56008,2.09689,0.000632047,0.000632047,0.000632047
171,10970.1,1.39139,1.6004,1.85034,0.59825,0.12454,0.14726,0.10354,1.498,1.61952,2.04371,0.000627331,0.000627331,0.000627331
172,11067.9,1.30252,1.47647,1.76003,0.62445,0.21761,0.23229,0.12843,1.41543,1.42176,1.94919,0.000622615,0.000622615,0.000622615
173,11151.4,1.27248,1.40922,1.75258,0.79084,0.14835,0.16772,0.11045,1.48589,1.51013,1.99972,0.0006179,0.0006179,0.0006179
174,11225.7,1.31688,1.50652,1.78672,0.87749,0.10073,0.14072,0.09922,1.48344,1.63833,2.007,0.000613184,0.000613184,0.000613184
175,11304.5,1.25935,1.31018,1.71125,0.9201,0.24313,0.27253,0.18321,1.44292,1.58982,1.99297,0.000608468,0.000608468,0.000608468
176,11379.7,1.31207,1.38828,1.78599,0.75225,0.17399,0.20741,0.14028,1.40039,1.42382,1.97963,0.000603752,0.000603752,0.000603752
